term,module,definition
Tanh (Hyperbolic Tangent),Module 12 - Gradient Descent and Backpropagation.docx,Squashes the input between -1 and 1.
Task Duration Modeling,Module 03 - Distributions.docx,"In project management, the Beta distribution can be used to model the probability distribution of the duration of a task."
TensorFlow Integration,Module 12 - Basic Artificial Neural Net (ANN).docx,"TPUs are tightly integrated with Google's TensorFlow framework, providing optimized performance for TensorFlow models."
Terms,Module 06 - Terms.docx,"Terms and Concepts Bessel's Correction Bessel's correction is the use of n−1 instead of n in the formula for the sample variance and sample standard deviation, where n is the number of observations in a sample. This method corrects the bias in the estimation of the population variance. It also partially corrects the bias in the estimation of the population standard deviation. Bias Bias is a systematic error that can occur in a statistical analysis, leading to inaccurate or misleading results. It can be caused by various factors, such as sampling bias, measurement bias, or human bias. Degrees of Freedom Degrees of freedom are the number of independent values that a statistical analysis can estimate. You can also think of it as the number of values that are free to vary as you estimate parameters. Degrees of freedom is a combination of how much data you have and how many parameters you need to estimate. Standard Deviation The standard deviation is a measure of the spread or dispersion of data points around the mean. It is calculated as the square root of the variance. A higher standard deviation indicates that the data is more spread out, while a lower standard deviation indicates that the data is more clustered around the mean. Boosting In machine learning, boosting is an ensemble meta-algorithm for primarily reducing bias, and also variance in supervised learning, and a family of machine learning algorithms that convert weak learners to strong ones. A weak learner is defined to be a classifier that is only slightly correlated with the true classification (it can label examples better than random guessing). Bootstrapping Bootstrapping is a statistical procedure that resamples a single dataset to create many simulated samples. This process allows you to calculate standard errors, construct confidence intervals, and perform hypothesis testing for numerous types of sample statistics. These resamples are known as sampling distributions of estimates. Central Limit Theorem The central limit theorem (CLT) is a statistical concept that states that the distribution of sample means approximates a normal distribution as the sample size gets larger, regardless of the population's distribution. Sample means will be normally distributed, even if the population isn't normally distributed. The central limit theorem is important in hypothesis testing and confidence intervals. Law of Large Numbers In probability theory, the law of large numbers (LLN) is a theorem that describes the result of performing the same experiment a large number of times. According to the law, the average of the results obtained from a large number of trials should be close to the expected value and tends to become closer to the expected value as more trials are performed. Guarantees stable long-term results for the averages of some random events. Distribution of Sample Means Imagine taking many random samples from a population and calculating the mean of each sample. The distribution of these sample means is called the ""distribution of sample means."" Crucially, even if the original population isn't normally distributed, the distribution of sample means tends towards a normal distribution as the sample size increases. This is the foundation of the Central Limit Theorem. This distribution has its own mean (close to the population mean) and standard deviation (called the standard error). Confidence Intervals A confidence interval is a range of values around a sample statistic (like the mean) that is likely to contain the true population parameter with a certain level of confidence (e.g., 95%). It essentially gives you a plausible range for where the true population value lies, based on your sample data. Confidence intervals are affected by sample size and variability. Larger samples and lower variability lead to narrower confidence intervals, indicating more precise estimates. Uncertainty In the statistical sense, uncertainty refers to the lack of complete knowledge about a population or phenomenon. We use samples to estimate population characteristics, but there's always some level of uncertainty because we haven't measured the entire population. Uncertainty can be quantified using concepts like confidence intervals, standard errors, and margins of error. Margin of Error The margin of error is the range of values above and below the sample statistic in a confidence interval. It essentially tells you how much your sample estimate might differ from the true population value due to random sampling error. A larger margin of error indicates greater uncertainty in the estimate. Standard Error The standard error is the standard deviation of the distribution of sample means. It measures how much the sample means vary from the true population mean. A smaller standard error indicates that the sample means are clustered more closely around the population mean, suggesting a more precise estimate. Relationships and Comparisons The distribution of sample means is the foundation for understanding confidence intervals and standard errors. Confidence intervals are constructed using the margin of error, which is calculated using the standard error. All these concepts help quantify and manage uncertainty in statistical analysis. By understanding these concepts and their relationships, you can better interpret statistical results, estimate population parameters, and make informed decisions based on data analysis. Natural Language Processing (NLP) Natural language processing (NLP) is a field of artificial intelligence (AI) that focuses on enabling computers to understand, interpret, and generate human language. It involves developing algorithms and models that can analyze text and speech, extract meaning, and perform tasks such as translation, summarization, and question answering. NLP is used in various applications, including chatbots, machine translation, sentiment analysis, and text classification. One-Hot Encoding In machine learning, one-hot encoding is a frequently used method to deal with categorical data. Because many machine learning models need their input variables to be numeric, categorical variables need to be transformed in the pre-processing part. One-hot encoding creates new binary columns for each unique value in a categorical variable, indicating the presence or absence of that value for each observation. Natural Language Processing (NLP) is a branch of artificial intelligence that deals with enabling computers to understand, interpret, and generate human language. Word Tokens Tokens are the total number of words in a corpus regardless of whether they are repeated. Word tokenization splits text into words. Tokens are the basic building blocks of natural language understanding. CountVectorizer CountVectorizer is a tool used in NLP to convert a collection of text documents into numerical feature vectors. It works by counting the occurrences of each word in each document and creating a matrix representation of the data. This matrix can then be used as input for machine learning algorithms. Bag of Words The bag-of-words model is a simplifying representation used in NLP and information retrieval (IR). In this model, a text (such as a sentence or a document) is represented as the bag (multiset) of its words, disregarding grammar and even word order but keeping multiplicity. Keeping multiplicity means that the number of times a word appears in the text is recorded. Stemming Stemming is the process of reducing a word to its base or root form, called the stem. This is done by removing suffixes and prefixes from the word. Stemming is used in NLP to normalize words and reduce the number of unique words in a corpus. Lemmatization Lemmatization is the process of grouping together the inflected forms of a word so they can be analyzed as a single item. This is done by using a dictionary or a set of rules to identify the base form of a word, called the lemma. Lemmatization is used in NLP to improve the accuracy of text analysis. TF-IDF (Term Frequency Inverse Document Frequency) TF-IDF is a numerical statistic that reflects how important a word is to a document in a collection or corpus. It is used to score words in the context of the document as well as in the context of the corpus. The higher the TF-IDF score, the more useful the word is in the analysis of the document. Stop Words Stop words are commonly used words (such as ""the"", ""a"", ""is"", ""to"") that are often removed from text during NLP tasks. This is because stop words typically do not carry much meaning and can clutter the analysis. Removing stop words can improve the efficiency and accuracy of NLP tasks. spaCy spaCy is an open-source library for advanced NLP tasks. It provides tools for various NLP tasks, such as tokenization, part-of-speech tagging, named entity recognition, and dependency parsing. It is designed to be fast, efficient, and easy to use. Language Models A language model is a probability distribution over sequences of words. It assigns a probability to the whole sequence. Language models are used in various NLP tasks, such as machine translation, speech recognition, and text generation. N-grams N-grams are contiguous sequences of n items from a given sample of text or speech. They are used to model the probability of a sequence of words, which is useful in various NLP tasks. Examples of n-grams include unigrams (single words), bigrams (two words), and trigrams (three words). Markov Chains A Markov chain is a mathematical system that undergoes transitions from one state to another, between a finite or countable number of possible states. It is a stochastic model describing a sequence of possible events in which the probability of each event depends only on the state attained in the previous event. Markov chains are used in NLP to model the probability of a sequence of words, which is useful in various NLP tasks. Word Embeddings In natural language processing (NLP), a word embedding is a learned representation for text where words that have the same meaning have a similar representation. Word embeddings are used to capture the semantic relationships between words. They are used in various NLP tasks, such as machine translation, sentiment analysis, and text classification. Similarity Measures Similarity measures are used to quantify the similarity between two pieces of text. There are various similarity measures, such as cosine similarity, Jaccard distance, and Euclidean distance. Similarity measures are used in NLP tasks such as information retrieval, document clustering, and text classification. Part of Speech (POS) Part-of-speech (POS) tagging is the process of assigning a part-of-speech tag to each word in a text. POS tags indicate the grammatical role of a word in a sentence, such as noun, verb, adjective, or adverb. POS tagging is used in various NLP tasks, such as parsing, machine translation, and information retrieval. Named Entity Recognition (NER) Named-entity recognition (NER) is a subtask of information extraction that seeks to locate and classify named entities in text into predefined categories such as the names of persons, organizations, locations, expressions of times, quantities, monetary values, percentages, etc. NER is used in various NLP applications, such as information retrieval, question answering, and machine translation. Sentence Segmentation Sentence segmentation, also known as sentence boundary disambiguation, is the problem in natural language processing of deciding where sentences begin and end. Sentence segmentation is used to divide a text into individual sentences, which is a necessary step for many NLP tasks. Topic Modeling Topic modeling is a statistical method for discovering abstract ""topics"" that occur in a collection of documents. It is used to uncover hidden themes or topics in a corpus of text data. Topic modeling is used in various NLP applications, such as document summarization, information retrieval, and text classification. Latent Dirichlet Allocation (LDA) Latent Dirichlet Allocation (LDA) is a generative statistical model that allows sets of observations to be explained by unobserved groups that explain why some parts of the data are similar. Non-Negative Matrix Factorization Non-Negative Matrix Factorization is a statistical method that helps us to reduce the dimension of the input corpora or corpora. Internally, it uses the factor analysis method to give comparatively less weightage to the words that are having less coherence. Performs dimensionality reduction and clustering Used with TF-IDF Similarity Measures Longest Common Substring India and Indiana would return 5 Levenshtein Edit Distance Finds the minimum number of single-character edits such as replacement, deletion, and insertion, needed to convert 1 text into another India and Indiana would return 2 Hamming Distance Finds the number replacements needed to change one text into another of equal size Indians and Indiana returns 2 Jaccard Distance Finds how disimilar two words are by distance and the lower the distance, the more similar Euclidean Distance Finds the length between two points l2 norm Dot Product Considers orientation, the direction, that Euclidean lacks Uses magnitude with orientation Cosine Similarity In data analysis, cosine similarity is a measure of similarity between two non-zero vectors defined in an inner product space. Cosine similarity is the cosine of the angle between the vectors; that is, it is the dot product of the vectors divided by the product of their lengths. It follows that the cosine similarity does not depend on the magnitudes of the vectors, but only on their angle. The cosine similarity always belongs to the interval -1, 1. For example, two proportional vectors have a cosine similarity of 1, two orthogonal vectors have a similarity of 0, and two opposite vectors have a similarity of -1. For example, in information retrieval and text mining, each word is assigned a different coordinate and a document is represented by the vector of the numbers of occurrences of each word in the document. Cosine similarity then gives a useful measure of how similar two documents are likely to be, in terms of their subject matter, and independently of the length of the documents. The technique is also used to measure cohesion within clusters in the field of data mining. "
Test Statistic,Module 04 - Hypothesis Testing.docx,A numerical value calculated from sample data that is used to test a hypothesis.
Test Statistics,Module 11 - Confusion Matrix Multilabel.docx,Evaluation metrics used to assess the performance of a classification model.
Test of Independence,Module 03 - Distributions.docx,To test whether there is a significant association between two categorical variables.
The Brain,Module 12 - Basic Artificial Neural Net (ANN).docx,"This is the general-purpose processor found in every computer. It handles all the basic operations of the system, from running your operating system and applications to executing calculations and managing data."
The Error Curve of 1777 - https,Module 06 - Astronomy and Statistics.docx,//www.qualitydigest.com/inside/six-sigma-article/distribution-measurement-error-040323.html
The Final Output,Module 12 - Gradient Descent and Backpropagation.docx,"After 10,000 epochs (iterations) of training, the output_layer_activation variable holds the network's predictions for the four input combinations."
The Function,Module 01 - Introduction.docx,"The concept of a function, represented as f(x), is introduced as a fundamental building block in mathematics and data science."
The History of Statistics,Module 06 - Astronomy and Statistics.docx,The Measurement of Uncertainty before 1900 by Stephen M. Stigler
The Task,Module 12 - Gradient Descent and Backpropagation.docx,"The neural network is learning to solve the XOR problem, which is a classic task in machine learning. The XOR function outputs 1 if the two inputs are different and 0 if they are the same."
The Tests,Module 04 - The Tests.docx,"The document ""Module 04 - The Tests.ipynb - Colab.pdf"" provides a comprehensive overview of various statistical tests used in hypothesis testing. These tests help determine if there are significant differences between groups or if observed patterns are likely due to chance. 1. T-Test 2. Levene's Test 3. Shapiro-Wilk Test 4. Kolmogorov-Smirnov Test 5. Chi-Square Test for Independence 6. ANOVA (Analysis of Variance) 7. Kruskal-Wallis Test 8. Fisher's Exact Test 9. Z-Test 10. Welch's t-Test 11. Mann-Whitney U Test "
The Tests,Module 04 - The Tests.docx,"Here's a breakdown of the tests covered in the document, along with their definitions and use cases Use Case"
The Training,Module 12 - Gradient Descent and Backpropagation.docx,"The network is trained on the four possible input combinations ([0, 0], [0, 1], [1, 0], [1, 1]) and their corresponding XOR outputs ([0], [1], [1], [0]). During training, the network adjusts its weights and biases to minimize the difference between its predictions and the actual XOR outputs."
The confidence interval,Module 09 - Feature Selection.docx,The range between these percentiles forms the bootstrap confidence interval.
The desired interpretation of the model coefficients,Module 10 - Link Functions.docx,How changes in the predictor variables affect the response variable.
The distribution of the response variable,Module 10 - Link Functions.docx,"Normal, Poisson, binomial, gamma, etc."
The nature of the response variable,Module 10 - Link Functions.docx,"Whether it's continuous, binary, count, etc."
Think of it like this,Module 12 - Gradient Descent and Backpropagation.docx,"the weighted sum gives you a raw score, and the activation function decides what to do with that score."
Thomas Bayes (1702-1761),Module 04 - Hypothesis Testing.docx,"Developed Bayes' theorem, a fundamental concept for conditional probability and updating beliefs based on new evidence."
Time Series Data,Module 13 - Pandas Time Series Complete.docx,"This refers to data that is collected and organized in chronological order, typically over a period of time. This type of data is common in finance (stock prices, economic indicators), environmental monitoring (temperature, pollution levels), and various other fields."
Time Series Data,Module 13 - Statsmodels Time Series Complete.docx,"This refers to data that is collected and organized in chronological order, typically over a period of time. This type of data is common in finance (stock prices, economic indicators), environmental monitoring (temperature, pollution levels), and various other fields."
Too Large,Module 12 - Basic Artificial Neural Net (ANN).docx,"The network might overshoot the optimal solution, leading to oscillations and instability, or even preventing convergence."
Too Small,Module 12 - Basic Artificial Neural Net (ANN).docx,The network might learn very slowly and get stuck in local minima.
Torch Hub,Module 12 - Gradient Descent and Backpropagation.docx,"PyTorch Hub provides a collection of pre-trained models readily available for use, simplifying tasks like image classification, object detection, and natural language processing."
Train and test,Module 09 - Feature Selection.docx,The model is trained on a subset of the data and tested on the remaining fold.
Train-Test Split,Module 02 - Descriptive Statistics.docx,A technique used to split a dataset into training and testing sets for machine learning model evaluation.
Trees,Module 11  - Trees.docx,"Intercept In linear regression, the intercept is the value of the dependent variable when all independent variables are zero. It can be thought of as the starting point of the regression line. Classification (Logistic Regression) A statistical method used to predict the probability of a binary outcome (yes or no, true or false). Decision Tree A decision support tool that uses a tree-like model to map decisions and their possible consequences. Decision Tree Terms Splitting Trees The process of dividing a node in a decision tree into two or more sub-nodes based on a feature, aiming to increase information gain or reduce uncertainty. Information Gain A metric used to measure the reduction in entropy (uncertainty) achieved by splitting a dataset based on a specific feature. Gini Impurity A measure of the probability of misclassifying a randomly chosen element from a set. Entropy A measure of uncertainty or disorder in a dataset. In decision trees, it is used to determine the optimal splits. Gain Ratio A modification of information gain used in decision trees to select the best feature to split on. Random Forests An ensemble learning method that combines multiple decision trees to improve prediction accuracy and reduce overfitting. Ensemble Learning A machine-learning approach where multiple models are combined to solve a problem. Hyperparameters Parameters used to control the learning process of a machine learning model, typically set before training begins. Grid Search A method for hyperparameter tuning where different combinations of hyperparameters are tested, and the combination with the best performance is selected. Cross-Validation A technique used to evaluate the performance of a machine learning model on unseen data by partitioning the data into subsets for training and testing. "
Trees,Module 11  - Trees.docx,There are several terms and concepts explained throughout the document you provided. Here is a brief definition and explanation for each
Trigrams,Module 12 - Gradient Descent and Backpropagation.docx,"Three-word sequences (e.g., ""the quick brown"")."
True Distribution (y),Module 12 - Gradient Descent and Backpropagation.docx,"Represents the actual class labels. For example, y = [0, 1] means the first sample belongs to class 0 and the second to class 1."
True Negative (TN),Module 11 - Confusion Matrix Binary.docx,An instance where the model correctly predicts the negative class.
True Positive (TP),Module 11 - Confusion Matrix Binary.docx,An instance where the model correctly predicts the positive class.
Tuning,Module 09 - Feature Selection.docx,The balance between L1 and L2 penalties is controlled by a hyperparameter (often denoted as 'alpha' or 'lambda'). Tuning this parameter is crucial for optimal performance.
Type I Error,Module 11 - Confusion Matrix Binary.docx,Incorrectly rejecting the null hypothesis when it is actually true. Equivalent to a false positive.
Type I Error,Module 04 - Hypothesis Testing.docx,Rejecting the null hypothesis when it is actually true (false positive).
Type I Error,Module 11 - Precision Recall.docx,Incorrectly rejecting the null hypothesis when it is actually true. Equivalent to a false positive.
Type II Error,Module 11 - Precision Recall.docx,Incorrectly failing to reject the null hypothesis when it is actually false. Equivalent to a false negative.
Type II Error,Module 11 - Confusion Matrix Binary.docx,Incorrectly failing to reject the null hypothesis when it is actually false. Equivalent to a false negative.
Type II Error,Module 04 - Hypothesis Testing.docx,Failing to reject the null hypothesis when it is actually false (false negative).
Underfitting,Module 11 - Cross Validation.docx,"Occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and test data."
Underfitting,Module 11 - Confusion Matrix Binary.docx,"Occurs when a model is too simple to capture the underlying patterns in the data, resulting in poor performance on both training and test data."
Unigrams,Module 12 - Gradient Descent and Backpropagation.docx,"Single words (e.g., ""the"", ""quick"", ""brown"")."
Unsupervised Learning,Module 11 - Cross Validation.docx,"A type of machine learning where models learn from unlabeled data to discover patterns, structures, or relationships in the data."
Update Parameters,Module 12 - Gradient Descent and Backpropagation.docx,Update theta0 and theta1 using the following formulas:
Updating Parameters,Module 12 - Basic Artificial Neural Net (ANN).docx,"Finally, the gradients are used to update the weights and biases in a way that reduces the error. This is typically done using an optimization algorithm like gradient descent."
Use Case,Module 04 - The Tests.docx,"To check the assumption of equal variances before performing tests like ANOVA or t-tests that assume equal variances. To check the normality assumption before performing tests like t-tests or ANOVA that assume normality. To test if a dataset follows a specific distribution or if two datasets come from the same distribution, especially when normality assumptions may not be met. To test relationships between categorical variables, such as the association between gender and political affiliation or between education level and product preference. To compare the effectiveness of different treatments, the performance of different groups on a test, or the impact of different factors on a response variable. To compare groups when the data is ordinal or when the assumptions of ANOVA are violated. To analyze contingency tables with small sample sizes where the chi-square test may not be appropriate. To test hypotheses about population means when the population standard deviation is known. To compare the means of two independent groups when the assumption of equal variances is violated. To compare groups when the data is ordinal or when the assumptions of the t-test are violated."
Using the Chain Rule,Module 12 - Basic Artificial Neural Net (ANN).docx,The chain rule from calculus is used to calculate these error attributions. It essentially tells us how much a small change in a neuron's activation affects the overall error.
Validity,Module 02 - Data.docx,The accuracy of data or measurements in reflecting the true values or concepts.
Vanishing Gradients,Module 12 - Gradient Descent and Backpropagation.docx,"Deeper networks can sometimes suffer from vanishing gradients, making it difficult to train effectively. Techniques like LSTMs or GRUs can help address this issue."
Vanishing Gradients,Module 12 - Basic Artificial Neural Net (ANN).docx,"For very large positive or negative inputs, the derivative of the sigmoid function becomes very small. This can lead to the vanishing gradient problem, making it difficult to train deep networks."
Variable,Module 02 - Descriptive Statistics.docx,Any characteristic or attribute that can be measured or counted.
Variable,Module 02 - Data.docx,Any characteristic or attribute that can be measured or counted.
Variance,Module 11 - Bias Variance Tradeoff.docx,"Variance measures how much the model's predictions would change if different training data were used. A model with high variance is overly sensitive to the specifics of the training data, leading to overfitting and poor generalization to new, unseen data."
Variance,Module 01 - Introduction.docx,A statistical measure that quantifies the spread or dispersion of data points around the mean. A measure of the spread or dispersion of data points around the mean.
Versatility,Module 09 - Feature Selection.docx,It can be applied to various statistics and situations.
Versatility,Module 12 - Gradient Descent and Backpropagation.docx,"It works for any real number exponent, including positive, negative, and fractional exponents."
Vertical Asymptote,Module 12 - Gradient Descent and Backpropagation.docx,"A vertical asymptote occurs where the function approaches infinity (or negative infinity) as x approaches a specific value. For example, the function y = 1/x has a vertical asymptote at x = 0."
Violin plots,Module 05 - EDA.docx,Similar to box plots but show the density of the data at different values.
Visualization and Interpretability,Module 12 - Gradient Descent and Backpropagation.docx,"There are techniques to visualize and interpret the learned representations in hidden layers, but they can still be challenging to fully decipher."
Web Scraping,Module 02 - Data.docx,Extracting data from websites using automated tools or scripts.
Weighted Sum,Module 12 - Gradient Descent and Backpropagation.docx,The weighted sum combines the inputs with their corresponding weights to determine the overall input to the neuron. 1.0400 Combines the inputs with their corresponding weights. 1.0400 z = wx + b
Weighted Sum,Module 12 - Basic Artificial Neural Net (ANN).docx,Calculating the weighted sum of inputs and biases for each layer.
"Weights (w₁, w₂, ..., wₙ)",Module 12 - Gradient Descent and Backpropagation.docx,These are numerical values that determine the strength or importance of each input. They are analogous to the strength of the synapses in a biological neuron.
What they are,Module 12 - Gradient Descent and Backpropagation.docx,A limit describes the behavior of a function as its input approaches a specific value. A secant line is a line that intersects a curve at two points. A tangent line is a line that touches a curve at a single point and has the same slope as the curve at that point. The derivative of a function gives you a formula to find the slope of the tangent line at any point on the curve.
Whh (Hidden to Hidden),Module 12 - Gradient Descent and Backpropagation.docx,"This is a weight matrix that connects the hidden layer to itself. It captures the recurrent connections in the RNN, allowing information from previous time steps to influence the current hidden state."
Why (Hidden to Output),Module 12 - Gradient Descent and Backpropagation.docx,This is a weight matrix that connects the hidden layer to the output layer. It determines how much each hidden neuron contributes to the final prediction of the next word.
Wxh (Input to Hidden),Module 12 - Gradient Descent and Backpropagation.docx,This is a weight matrix that connects the input layer to the hidden layer. It determines how much each input word influences the activations of the neurons in the hidden layer.
X,Module 12 - Basic Artificial Neural Net (ANN).docx,Input data. Input data.
X (Input),Module 12 - Basic Artificial Neural Net (ANN).docx,Represents two different input samples. Each sample has four features.
XV. O.J. Simpson,Module 03 - Miscellaneous.docx,The Other Side of Probability
__init__,Module 12 - Gradient Descent and Backpropagation.docx,Initializes the network's weights and biases. Initializes the layers (nn.Linear) with specified input and output sizes.
``` Epoch 0,Module 12 - Gradient Descent and Backpropagation.docx,"Loss = 13.815510557964274 Epoch 100: Loss = 5.466041528718078 Epoch 200: Loss = 2.377595868318954 ... Epoch 900: Loss = 0.03156524335835228 Seed text: the quick brown Predicted words: ['fox', 'dog"
a_j^{l-1},Module 12 - Basic Artificial Neural Net (ANN).docx,Activation of the j-th neuron in layer l-1
all,Module 02 - Miscellaneous.docx,Returns True only if all values in a Series or DataFrame meet a certain condition.
any,Module 02 - Miscellaneous.docx,Returns True if at least one value in a Series or DataFrame meets a certain condition.
autograd Package,Module 12 - Basic Artificial Neural Net (ANN).docx,"PyTorch tensors are integrated with the autograd package, which enables automatic differentiation. This means PyTorch can automatically calculate gradients (derivatives) of operations performed on tensors, which is crucial for training neural networks using gradient-based optimization algorithms."
backward,Module 12 - Gradient Descent and Backpropagation.docx,"Performs the backward pass (backpropagation), calculating gradients for each parameter."
bh (Hidden Bias),Module 12 - Gradient Descent and Backpropagation.docx,"This is a bias vector for the hidden layer. It adds a constant offset to the weighted sum of inputs in the hidden layer, providing flexibility in the activation function."
bias,Module 12 - Gradient Descent and Backpropagation.docx,"Represents the bias term, which adds an offset to the weighted sum."
by (Output Bias),Module 12 - Gradient Descent and Backpropagation.docx,"This is a bias vector for the output layer. It adds a constant offset to the weighted sum of hidden activations, influencing the final prediction."
class_weight='balanced',Module 11 - Precision Recall.docx,A parameter in machine learning models that adjusts the weights of different classes to address class imbalance. It gives more weight to the minority class during training.
coef,Module 08 - Coefficients and Metrics.docx,the estimated value of the coefficient
criterion,Module 12 - Basic Artificial Neural Net (ANN).docx,Defines the loss function (Mean Squared Error) to measure the network's prediction error.
d_hidden2 = hidden_error2 * sigmoid_derivative(self.hidden_layer2),Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the gradient of the error with respect to the second hidden layer's activations.
d_output = output_error * sigmoid_derivative(output),Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the gradient of the error with respect to the output layer's activations. It uses the derivative of the sigmoid function because that was the activation function used in the forward pass.
forward,Module 12 - Gradient Descent and Backpropagation.docx,"Performs the forward pass, calculating activations and probabilities for each word in the input sequence. Defines the forward pass, including the activation function (torch.relu)."
g_t,Module 12 - Gradient Descent and Backpropagation.docx,Gradient at time step t
hidden_error2 = d_output.dot(self.weights3.T),Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates how much the error in the output layer is attributed to the activations in the second hidden layer.
hs,Module 12 - Gradient Descent and Backpropagation.docx,This is a dictionary that stores the hidden state vectors at each time step. Each hs[t] represents the activation of the hidden layer at time step t. It captures the information from the current input and the previous hidden state.
http,Module 06 - Astronomy and Statistics.docx,//www.sites.hps.cam.ac.uk/starry/logarithms.html //www.sites.hps.cam.ac.uk/starry/keplertables.html
https,Module 06 - Astronomy and Statistics.docx,"//nso.edu/for-public/eclipse-map-2024/ //eclipse2024.org/eclipse_cities/statemap.php //stellarium-web.org/ //www.solarsystemscope.com/ //earthobservatory.nasa.gov/features/OrbitsHistory //www.britannica.com/science/astronomy/History-of-astronomy //imagine.gsfc.nasa.gov/science/toolbox/timing_history.html //en.wikipedia.org/wiki/Least_squares#History //en.wikipedia.org/wiki/Tycho_Brahe //observablehq.com/@christophe-yamahata/visualizing-tycho-brahe-s-astronomical-observations-mars //library.si.edu/digital-library/book/tychonisbraheas00braha //library.si.edu/digital-library/book/tychonisbrahedan00brah //www.sciencephoto.com/media/720385/view/table-from-the-rudolphine-tables-1627- //early-astronomy.classics.lsa.umich.edu/western_rudolphine.php //www.loc.gov/item/85194777/ //www.loc.gov/resource/rbc0001.2013gen94777/?c=40&sp=3&st=gallery //telescoper.blog/2015/08/29/statistics-in-astronomy/ //en.wikipedia.org/wiki/Least_squares //www.cuemath.com/data/least-squares/ //en.wikipedia.org/wiki/System_of_linear_equations 


Row reduction, Gaussian Elimination //www.actuaries.digital/2021/03/31/gauss-least-squares-and-the-missing-planet/"
https,Module 06 - Terms.docx,//www.analyticsvidhya.com/blog/2021/06/part-15-step-by-step-guide-to-master-nlp-topic-modelling-using-nmf/ //flavien-vidal.medium.com/similarity-distances-for-natural-language-processing-16f63cd5ba55 //en.wikipedia.org/wiki/Cosine_similarity
https,Module 08 - Coefficients and Metrics.docx,//www.statisticshowto.com/endogenous-variable/ //medium.com/swlh/interpreting-linear-regression-through-statsmodels-summary-4796d359035a
"input_size, hidden_size1, hidden_size2, output_size",Module 12 - Basic Artificial Neural Net (ANN).docx,Define the number of neurons in each layer.
inputs,Module 12 - Gradient Descent and Backpropagation.docx,"Represents the input values to the neuron (e.g., features of a data point)."
"inputs = np.array([0.5, 0.3, 0.2])",Module 12 - Gradient Descent and Backpropagation.docx,"These are the ""amounts"" of each ingredient (input values)."
loss.backward(),Module 12 - Gradient Descent and Backpropagation.docx,Performs backpropagation to compute gradients.
lr=0.1,Module 12 - Basic Artificial Neural Net (ANN).docx,This sets the learning rate for the optimizer. The learning rate controls the step size taken in the direction of the negative gradient during each iteration of the optimization process.
m_t,Module 12 - Gradient Descent and Backpropagation.docx,First moment estimate at time step t
matplotlib.pyplot,Module 10 - GLM vs OLS.docx,A Python plotting library that produces high-quality figures in a variety of formats.
net.parameters(),Module 12 - Basic Artificial Neural Net (ANN).docx,This provides the optimizer with the parameters of your neural network (net) that need to be updated during training.
nn.Linear,Module 12 - Gradient Descent and Backpropagation.docx,Implements a fully connected layer.
nn.MSELoss,Module 12 - Gradient Descent and Backpropagation.docx,Calculates the Mean Squared Error loss.
nn.MSELoss(),Module 12 - Basic Artificial Neural Net (ANN).docx,"This creates an instance of the MSELoss class from PyTorch's nn module. MSELoss stands for Mean Squared Error Loss, a common loss function for regression tasks. It calculates the average of the squared differences between the predicted and target values."
nn.Module,Module 12 - Gradient Descent and Backpropagation.docx,Base class for all neural network modules in PyTorch.
"np.dot(X, self.weights1) + self.bias1",Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the weighted sum of the inputs and the bias for the first hidden layer. Each neuron in this layer receives a weighted sum of all the input features.
"np.dot(self.hidden_layer1, self.weights2) + self.bias2",Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the weighted sum of the activations from the first hidden layer and the bias for the second hidden layer.
"np.dot(self.hidden_layer2, self.weights3) + self.bias3",Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the weighted sum of the activations from the second hidden layer and the bias for the output layer.
optim.SGD,Module 12 - Gradient Descent and Backpropagation.docx,Implements the Stochastic Gradient Descent optimizer.
optim.SGD(...),Module 12 - Basic Artificial Neural Net (ANN).docx,"This creates an instance of the SGD class from PyTorch's optim module. SGD stands for Stochastic Gradient Descent, a widely used optimization algorithm."
optimizer,Module 12 - Basic Artificial Neural Net (ANN).docx,Defines the optimization algorithm (Stochastic Gradient Descent) to update the network's parameters and minimize the loss.
optimizer.step(),Module 12 - Gradient Descent and Backpropagation.docx,Updates model parameters based on gradients.
output,Module 12 - Basic Artificial Neural Net (ANN).docx,Output from the forward pass.
output_error = y - output,Module 12 - Basic Artificial Neural Net (ANN).docx,This calculates the difference between the predicted output (output) from the forward pass and the actual target output (y). This difference represents the error of the network.
p-value,Module 08 - Coefficients and Metrics.docx,This indicates the probability of observing the given t-value if there were no real relationship between the feature and the outcome. A small p-value (typically < 0.05) suggests that the feature is statistically significant in predicting the outcome.
ps,Module 12 - Gradient Descent and Backpropagation.docx,This is a dictionary that stores the probability distributions over the vocabulary at each time step. Each ps[t] represents the probabilities of the next word given the current input and hidden state.
r,"Module 08 - R-Squared, R, r, TSS, ESS, and RSS.docx","Pearson's correlation coefficient, measuring the linear correlation between two sets of data. It's calculated by dividing the covariance of the two variables by the product of their standard deviations. Like R, it ranges from -1 to 1, with the same interpretations."
